[ 2022-04-27 03:13:09,382 ] Asset loading complete
[ 2022-09-25 00:30:34,166 ] Asset loading complete
[ 2022-09-25 00:37:39,888 ] Asset loading complete
[ 2022-09-25 00:37:48,387 ] News query failed: "Unrecognized event news."
[ 2022-09-25 00:38:05,693 ] BattlEye: "Initialized (v1.246)"
[ 2022-09-25 00:38:05,693 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-09-25 00:38:05,693 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-09-25 00:38:05,765 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-25 00:38:05,782 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 00:38:05,786 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 00:38:05,808 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "The remote host closed the connection" )
[ 2022-09-25 00:38:05,812 ] Disconnected from gameserver
[ 2022-09-25 00:38:06,767 ] News query failed: "Unrecognized event news."
[ 2022-09-25 00:38:09,290 ] News query failed: "Unrecognized event news."
[ 2022-09-25 00:38:17,260 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-25 00:38:17,262 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 00:38:17,275 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 00:38:17,305 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "The remote host closed the connection" )
[ 2022-09-25 00:38:17,312 ] Disconnected from gameserver
[ 2022-09-25 00:38:18,183 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-25 00:38:18,695 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-25 03:53:33,119 ] Asset loading complete
[ 2022-09-25 03:53:46,285 ] News query failed: "Unrecognized event news."
[ 2022-09-25 03:53:49,196 ] BattlEye: "Initialized (v1.246)"
[ 2022-09-25 03:53:49,196 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-09-25 03:53:49,196 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-09-25 03:53:49,266 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-25 03:53:49,273 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 03:53:49,284 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 03:53:49,328 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "The remote host closed the connection" )
[ 2022-09-25 03:53:49,332 ] Disconnected from gameserver
[ 2022-09-25 03:53:50,245 ] News query failed: "Unrecognized event news."
[ 2022-09-25 03:53:58,140 ] News query failed: "Unrecognized event news."
[ 2022-09-25 03:55:12,021 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-25 03:55:15,152 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-25 03:55:15,163 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 03:55:15,175 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 03:55:15,227 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "The remote host closed the connection" )
[ 2022-09-25 03:55:15,232 ] Disconnected from gameserver
[ 2022-09-25 03:55:16,124 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-25 03:59:07,759 ] Asset loading complete
[ 2022-09-25 04:01:35,896 ] Asset loading complete
[ 2022-09-25 04:10:06,194 ] Asset loading complete
[ 2022-09-25 04:10:10,257 ] News query failed: "Unrecognized event news."
[ 2022-09-25 04:10:12,802 ] BattlEye: "Initialized (v1.246)"
